Time,ABfactor
2.52,0.924032
2.53,0.924851
2.54,0.925662
2.55,0.926464
2.56,0.927259
2.57,0.928046
2.58,0.928825
2.59,0.929596
2.6,0.93036
2.61,0.931116
2.62,0.931865
2.63,0.932607
2.64,0.933341
2.65,0.934068
2.66,0.934788
2.67,0.9355
2.68,0.936206
2.69,0.936905
2.7,0.937597
2.71,0.938282
2.72,0.93896
2.73,0.939631
2.74,0.940296
2.75,0.940955
2.76,0.941607
2.77,0.942252
2.78,0.942892
2.79,0.943524
2.8,0.944151
2.81,0.944771
2.82,0.945386
2.83,0.945994
2.84,0.946596
2.85,0.947193
2.86,0.947783
2.87,0.948368
2.88,0.948947
2.89,0.94952
2.9,0.950088
2.91,0.95065
2.92,0.951206
2.93,0.951757
2.94,0.952302
2.95,0.952843
2.96,0.953377
2.97,0.953907
2.98,0.954431
2.99,0.954951
3,0.955465
3.01,0.955974
3.02,0.956478
3.03,0.956977
3.04,0.957471
3.05,0.95796
3.06,0.958444
3.07,0.958924
3.08,0.959399
3.09,0.959869
3.1,0.960335
3.11,0.960796
3.12,0.961252
3.13,0.961704
3.14,0.962152
3.15,0.962595
3.16,0.963034
3.17,0.963468
3.18,0.963898
3.19,0.964324
3.2,0.964746
3.21,0.965164
3.22,0.965577
3.23,0.965986
3.24,0.966392
3.25,0.966793
3.26,0.967191
3.27,0.967584
3.28,0.967974
3.29,0.968359
3.3,0.968741
3.31,0.96912
3.32,0.969494
3.33,0.969865
3.34,0.970232
3.35,0.970596
3.36,0.970955
3.37,0.971312
3.38,0.971665
3.39,0.972014
3.4,0.97236
3.41,0.972703
3.42,0.973042
3.43,0.973378
3.44,0.97371
3.45,0.97404
3.46,0.974366
3.47,0.974688
3.48,0.975008
3.49,0.975324
3.5,0.975638
3.51,0.975948
3.52,0.976255
3.53,0.97656
3.54,0.976861
3.55,0.977159
3.56,0.977454
3.57,0.977747
3.58,0.978036
3.59,0.978323
3.6,0.978607
3.61,0.978888
3.62,0.979166
3.63,0.979441
3.64,0.979714
3.65,0.979984
3.66,0.980252
3.67,0.980517
3.68,0.980779
3.69,0.981038
3.7,0.981295
3.71,0.98155
3.72,0.981802
3.73,0.982052
3.74,0.982299
3.75,0.982543
3.76,0.982786
3.77,0.983025
3.78,0.983263
3.79,0.983498
3.8,0.983731
3.81,0.983961
3.82,0.98419
3.83,0.984416
3.84,0.98464
3.85,0.984861
3.86,0.985081
3.87,0.985298
3.88,0.985513
3.89,0.985726
3.9,0.985937
3.91,0.986146
3.92,0.986352
3.93,0.986557
3.94,0.98676
3.95,0.986961
3.96,0.987159
3.97,0.987356
3.98,0.987551
3.99,0.987744
4,0.987935
4.01,0.988124
4.02,0.988311
4.03,0.988497
4.04,0.98868
4.05,0.988862
4.06,0.989042
4.07,0.98922
4.08,0.989397
4.09,0.989571
4.1,0.989744
4.11,0.989916
4.12,0.990085
4.13,0.990253
4.14,0.99042
4.15,0.990584
4.16,0.990747
4.17,0.990909
4.18,0.991069
4.19,0.991227
4.2,0.991384
4.21,0.991539
4.22,0.991692
4.23,0.991844
4.24,0.991995
4.25,0.992144
4.26,0.992292
4.27,0.992438
4.28,0.992583
4.29,0.992726
4.3,0.992868
4.31,0.993009
4.32,0.993148
4.33,0.993286
4.34,0.993422
4.35,0.993557
4.36,0.993691
4.37,0.993823
4.38,0.993954
4.39,0.994084
4.4,0.994213
4.41,0.99434
4.42,0.994466
4.43,0.994591
4.44,0.994714
4.45,0.994837
4.46,0.994958
4.47,0.995078
4.48,0.995197
4.49,0.995314
4.5,0.995431
4.51,0.995546
4.52,0.99566
4.53,0.995773
4.54,0.995885
4.55,0.995996
4.56,0.996106
4.57,0.996214
4.58,0.996322
4.59,0.996428
4.6,0.996534
4.61,0.996638
4.62,0.996742
4.63,0.996844
4.64,0.996945
4.65,0.997046
4.66,0.997145
4.67,0.997244
4.68,0.997341
4.69,0.997437
4.7,0.997533
4.71,0.997628
4.72,0.997721
4.73,0.997814
4.74,0.997906
4.75,0.997997
4.76,0.998087
4.77,0.998176
4.78,0.998264
4.79,0.998351
4.8,0.998438
4.81,0.998524
4.82,0.998608
4.83,0.998692
4.84,0.998776
4.85,0.998858
4.86,0.998939
4.87,0.99902
4.88,0.9991
4.89,0.999179
4.9,0.999258
4.91,0.999335
4.92,0.999412
4.93,0.999488
4.94,0.999563
4.95,0.999638
4.96,0.999712
4.97,0.999785
4.98,0.999857
4.99,0.999929
5,1
5.01,0.997902
5.02,0.995809
5.03,0.99372
5.04,0.991635
5.05,0.989555
5.06,0.987479
5.07,0.985408
5.08,0.98334
5.09,0.981277
5.1,0.979219
5.11,0.977165
5.12,0.975115
5.13,0.973069
5.14,0.971028
5.15,0.968991
5.16,0.966958
5.17,0.96493
5.18,0.962906
5.19,0.960886
5.2,0.95887
5.21,0.956858
5.22,0.954851
5.23,0.952848
5.24,0.950849
5.25,0.948854
5.26,0.946864
5.27,0.944877
5.28,0.942895
5.29,0.940917
5.3,0.938943
5.31,0.936974
5.32,0.935008
5.33,0.933047
5.34,0.931089
5.35,0.929136
5.36,0.927187
5.37,0.925242
5.38,0.923301
5.39,0.921364
5.4,0.919431
5.41,0.917502
5.42,0.915578
5.43,0.913657
5.44,0.91174
5.45,0.909828
5.46,0.907919
5.47,0.906014
5.48,0.904114
5.49,0.902217
5.5,0.900325
5.51,0.898436
5.52,0.896551
5.53,0.89467
5.54,0.892793
5.55,0.890921
5.56,0.889052
5.57,0.887187
5.58,0.885325
5.59,0.883468
5.6,0.881615
5.61,0.879765
5.62,0.87792
5.63,0.876078
5.64,0.87424
5.65,0.872406
5.66,0.870576
5.67,0.86875
5.68,0.866927
5.69,0.865109
5.7,0.863294
5.71,0.861483
5.72,0.859676
5.73,0.857872
5.74,0.856073
5.75,0.854277
5.76,0.852485
5.77,0.850696
5.78,0.848912
5.79,0.847131
5.8,0.845354
5.81,0.84358
5.82,0.841811
5.83,0.840045
5.84,0.838283
5.85,0.836524
5.86,0.834769
5.87,0.833018
5.88,0.831271
5.89,0.829527
5.9,0.827787
5.91,0.82605
5.92,0.824317
5.93,0.822588
5.94,0.820862
5.95,0.81914
5.96,0.817422
5.97,0.815707
5.98,0.813996
5.99,0.812288
6,0.810584
6.01,0.808884
6.02,0.807187
6.03,0.805494
6.04,0.803804
6.05,0.802118
6.06,0.800435
6.07,0.798756
6.08,0.79708
6.09,0.795408
6.1,0.793739
6.11,0.792074
6.12,0.790413
6.13,0.788755
6.14,0.7871
6.15,0.785449
6.16,0.783801
6.17,0.782157
6.18,0.780516
6.19,0.778879
6.2,0.777245
6.21,0.775614
6.22,0.773987
6.23,0.772363
6.24,0.770743
6.25,0.769126
6.26,0.767513
6.27,0.765903
6.28,0.764296
6.29,0.762693
6.3,0.761093
6.31,0.759496
6.32,0.757903
6.33,0.756313
6.34,0.754726
6.35,0.753143
6.36,0.751563
6.37,0.749987
6.38,0.748413
6.39,0.746843
6.4,0.745276
6.41,0.743713
6.42,0.742153
6.43,0.740596
6.44,0.739042
6.45,0.737492
6.46,0.735945
6.47,0.734401
6.48,0.73286
6.49,0.731323
6.5,0.729789
6.51,0.728258
6.52,0.72673
6.53,0.725206
6.54,0.723684
6.55,0.722166
6.56,0.720651
6.57,0.719139
6.58,0.717631
6.59,0.716125
6.6,0.714623
6.61,0.713124
6.62,0.711628
6.63,0.710135
6.64,0.708645
6.65,0.707159
6.66,0.705675
6.67,0.704195
6.68,0.702718
6.69,0.701244
6.7,0.699772
6.71,0.698305
6.72,0.69684
6.73,0.695378
6.74,0.693919
6.75,0.692463
6.76,0.691011
6.77,0.689561
6.78,0.688115
6.79,0.686671
6.8,0.685231
6.81,0.683793
6.82,0.682359
6.83,0.680927
6.84,0.679499
6.85,0.678073
6.86,0.676651
6.87,0.675231
6.88,0.673815
6.89,0.672401
6.9,0.670991
6.91,0.669583
6.92,0.668178
6.93,0.666777
6.94,0.665378
6.95,0.663982
6.96,0.662589
6.97,0.661199
6.98,0.659812
6.99,0.658428
7,0.657047
7.01,0.655668
7.02,0.654293
7.03,0.65292
7.04,0.651551
7.05,0.650184
7.06,0.64882
7.07,0.647459
7.08,0.646101
7.09,0.644745
7.1,0.643393
7.11,0.642043
7.12,0.640696
7.13,0.639352
7.14,0.638011
7.15,0.636672
7.16,0.635337
7.17,0.634004
7.18,0.632674
7.19,0.631347
7.2,0.630022
7.21,0.628701
7.22,0.627382
7.23,0.626066
7.24,0.624752
7.25,0.623442
7.26,0.622134
7.27,0.620829
7.28,0.619526
7.29,0.618227
7.3,0.61693
7.31,0.615636
7.32,0.614344
7.33,0.613055
7.34,0.611769
7.35,0.610486
7.36,0.609205
7.37,0.607927
7.38,0.606652
7.39,0.605379
7.4,0.604109
7.41,0.602842
7.42,0.601577
7.43,0.600315
7.44,0.599056
7.45,0.597799
7.46,0.596545
7.47,0.595294
7.48,0.594045
7.49,0.592799
7.5,0.591555
7.51,0.590314
7.52,0.589076
7.53,0.58784
7.54,0.586607
7.55,0.585377
7.56,0.584149
7.57,0.582923
7.58,0.5817
7.59,0.58048
7.6,0.579262
7.61,0.578047
7.62,0.576834
7.63,0.575624
7.64,0.574417
7.65,0.573212
7.66,0.572009
7.67,0.570809
7.68,0.569612
7.69,0.568417
7.7,0.567225
7.71,0.566035
7.72,0.564847
7.73,0.563662
7.74,0.56248
7.75,0.5613
7.76,0.560122
7.77,0.558947
7.78,0.557775
7.79,0.556605
7.8,0.555437
7.81,0.554272
7.82,0.553109
7.83,0.551949
7.84,0.550791
7.85,0.549635
7.86,0.548482
7.87,0.547332
7.88,0.546184
7.89,0.545038
7.9,0.543894
7.91,0.542754
7.92,0.541615
7.93,0.540479
7.94,0.539345
7.95,0.538213
7.96,0.537084
7.97,0.535958
7.98,0.534833
7.99,0.533711
8,0.532592
8.01,0.531475
8.02,0.53036
8.03,0.529247
8.04,0.528137
8.05,0.527029
8.06,0.525923
8.07,0.52482
8.08,0.523719
8.09,0.52262
8.1,0.521524
8.11,0.52043
8.12,0.519338
8.13,0.518249
8.14,0.517162
8.15,0.516077
8.16,0.514994
8.17,0.513914
8.18,0.512836
8.19,0.51176
8.2,0.510686
8.21,0.509615
8.22,0.508546
8.23,0.507479
8.24,0.506414
8.25,0.505352
8.26,0.504292
8.27,0.503234
8.28,0.502178
8.29,0.501125
8.3,0.500074
8.31,0.499025
8.32,0.497978
8.33,0.496933
8.34,0.495891
8.35,0.49485
8.36,0.493812
8.37,0.492776
8.38,0.491743
8.39,0.490711
8.4,0.489682
8.41,0.488654
8.42,0.487629
8.43,0.486606
8.44,0.485585
8.45,0.484567
8.46,0.48355
8.47,0.482536
8.48,0.481524
8.49,0.480513
8.5,0.479505
8.51,0.4785
8.52,0.477496
8.53,0.476494
8.54,0.475494
8.55,0.474497
8.56,0.473502
8.57,0.472508
8.58,0.471517
8.59,0.470528
8.6,0.469541
8.61,0.468556
8.62,0.467573
8.63,0.466592
8.64,0.465613
8.65,0.464636
8.66,0.463662
8.67,0.462689
8.68,0.461718
8.69,0.46075
8.7,0.459783
8.71,0.458819
8.72,0.457856
8.73,0.456896
8.74,0.455937
8.75,0.454981
8.76,0.454026
8.77,0.453074
8.78,0.452123
8.79,0.451175
8.8,0.450229
8.81,0.449284
8.82,0.448342
8.83,0.447401
8.84,0.446462
8.85,0.445526
8.86,0.444591
8.87,0.443659
8.88,0.442728
8.89,0.441799
8.9,0.440872
8.91,0.439947
8.92,0.439025
8.93,0.438104
8.94,0.437184
8.95,0.436267
8.96,0.435352
8.97,0.434439
8.98,0.433528
8.99,0.432618
9,0.431711
9.01,0.430805
9.02,0.429901
9.03,0.428999
9.04,0.428099
9.05,0.427201
9.06,0.426305
9.07,0.425411
9.08,0.424518
9.09,0.423628
9.1,0.422739
9.11,0.421852
9.12,0.420967
9.13,0.420084
9.14,0.419203
9.15,0.418324
9.16,0.417446
9.17,0.41657
9.18,0.415696
9.19,0.414824
9.2,0.413954
9.21,0.413086
9.22,0.412219
9.23,0.411354
9.24,0.410492
9.25,0.40963
9.26,0.408771
9.27,0.407914
9.28,0.407058
9.29,0.406204
9.3,0.405352
9.31,0.404501
9.32,0.403653
9.33,0.402806
9.34,0.401961
9.35,0.401118
9.36,0.400276
9.37,0.399437
9.38,0.398599
9.39,0.397763
9.4,0.396928
9.41,0.396095
9.42,0.395265
9.43,0.394435
9.44,0.393608
9.45,0.392782
9.46,0.391958
9.47,0.391136
9.48,0.390315
9.49,0.389497
9.5,0.38868
9.51,0.387864
9.52,0.387051
9.53,0.386239
9.54,0.385428
9.55,0.38462
9.56,0.383813
9.57,0.383008
9.58,0.382204
9.59,0.381403
9.6,0.380602
9.61,0.379804
9.62,0.379007
9.63,0.378212
9.64,0.377419
9.65,0.376627
9.66,0.375837
9.67,0.375048
9.68,0.374262
9.69,0.373477
9.7,0.372693
9.71,0.371911
9.72,0.371131
9.73,0.370353
9.74,0.369576
9.75,0.3688
9.76,0.368027
9.77,0.367255
9.78,0.366484
9.79,0.365715
9.8,0.364948
9.81,0.364183
9.82,0.363419
9.83,0.362656
9.84,0.361895
9.85,0.361136
9.86,0.360379
9.87,0.359623
9.88,0.358868
9.89,0.358115
9.9,0.357364
9.91,0.356614
9.92,0.355866
9.93,0.35512
9.94,0.354375
9.95,0.353631
9.96,0.35289
9.97,0.352149
9.98,0.351411
9.99,0.350673
10,0.349938
10.01,0.349204
10.02,0.348471
10.03,0.34774
10.04,0.347011
10.05,0.346283
10.06,0.345556
10.07,0.344831
10.08,0.344108
10.09,0.343386
10.1,0.342666
10.11,0.341947
10.12,0.34123
10.13,0.340514
10.14,0.339799
10.15,0.339087
10.16,0.338375
10.17,0.337665
10.18,0.336957
10.19,0.33625
10.2,0.335545
10.21,0.334841
10.22,0.334138
10.23,0.333437
10.24,0.332738
10.25,0.33204
10.26,0.331343
10.27,0.330648
10.28,0.329955
10.29,0.329262
10.3,0.328572
10.31,0.327882
10.32,0.327195
10.33,0.326508
10.34,0.325823
10.35,0.32514
10.36,0.324458
10.37,0.323777
10.38,0.323098
10.39,0.32242
10.4,0.321744
10.41,0.321069
10.42,0.320395
10.43,0.319723
10.44,0.319052
10.45,0.318383
10.46,0.317715
10.47,0.317049
10.48,0.316384
10.49,0.31572
10.5,0.315058
10.51,0.314397
10.52,0.313737
10.53,0.313079
10.54,0.312422
10.55,0.311767
10.56,0.311113
10.57,0.31046
10.58,0.309809
10.59,0.309159
10.6,0.30851
10.61,0.307863
10.62,0.307217
10.63,0.306573
10.64,0.30593
10.65,0.305288
10.66,0.304647
10.67,0.304008
10.68,0.303371
10.69,0.302734
10.7,0.302099
10.71,0.301465
10.72,0.300833
10.73,0.300202
10.74,0.299572
10.75,0.298944
10.76,0.298317
10.77,0.297691
10.78,0.297066
10.79,0.296443
10.8,0.295821
10.81,0.295201
10.82,0.294581
10.83,0.293963
10.84,0.293347
10.85,0.292731
10.86,0.292117
10.87,0.291504
10.88,0.290893
10.89,0.290283
10.9,0.289674
10.91,0.289066
10.92,0.28846
10.93,0.287855
10.94,0.287251
10.95,0.286648
10.96,0.286047
10.97,0.285447
10.98,0.284848
10.99,0.28425
11,0.283654
11.01,0.283059
11.02,0.282465
11.03,0.281873
11.04,0.281281
11.05,0.280691
11.06,0.280102
11.07,0.279515
11.08,0.278928
11.09,0.278343
11.1,0.277759
11.11,0.277177
11.12,0.276595
11.13,0.276015
11.14,0.275436
11.15,0.274858
11.16,0.274282
11.17,0.273706
11.18,0.273132
11.19,0.272559
11.2,0.271987
11.21,0.271417
11.22,0.270847
11.23,0.270279
11.24,0.269712
11.25,0.269146
11.26,0.268582
11.27,0.268018
11.28,0.267456
11.29,0.266895
11.3,0.266335
11.31,0.265776
11.32,0.265219
11.33,0.264662
11.34,0.264107
11.35,0.263553
11.36,0.263
11.37,0.262449
11.38,0.261898
11.39,0.261349
11.4,0.2608
11.41,0.260253
11.42,0.259707
11.43,0.259163
11.44,0.258619
11.45,0.258076
11.46,0.257535
11.47,0.256995
11.48,0.256456
11.49,0.255918
11.5,0.255381
11.51,0.254845
11.52,0.25431
11.53,0.253777
11.54,0.253244
11.55,0.252713
11.56,0.252183
11.57,0.251654
11.58,0.251126
11.59,0.250599
11.6,0.250074
11.61,0.249549
11.62,0.249025
11.63,0.248503
11.64,0.247982
11.65,0.247462
11.66,0.246942
11.67,0.246424
11.68,0.245907
11.69,0.245392
11.7,0.244877
11.71,0.244363
11.72,0.24385
11.73,0.243339
11.74,0.242828
11.75,0.242319
11.76,0.241811
11.77,0.241303
11.78,0.240797
11.79,0.240292
11.8,0.239788
11.81,0.239285
11.82,0.238783
11.83,0.238282
11.84,0.237782
11.85,0.237283
11.86,0.236786
11.87,0.236289
11.88,0.235793
11.89,0.235299
11.9,0.234805
11.91,0.234312
11.92,0.233821
11.93,0.23333
11.94,0.232841
11.95,0.232352
11.96,0.231865
11.97,0.231379
11.98,0.230893
11.99,0.230409
12,0.229925
12.01,0.229443
12.02,0.228962
12.03,0.228482
12.04,0.228002
12.05,0.227524
12.06,0.227047
12.07,0.22657
12.08,0.226095
12.09,0.225621
12.1,0.225147
12.11,0.224675
12.12,0.224204
12.13,0.223733
12.14,0.223264
12.15,0.222796
12.16,0.222328
12.17,0.221862
12.18,0.221397
12.19,0.220932
12.2,0.220469
12.21,0.220006
12.22,0.219545
12.23,0.219084
12.24,0.218624
12.25,0.218166
12.26,0.217708
12.27,0.217251
12.28,0.216796
12.29,0.216341
12.3,0.215887
12.31,0.215434
12.32,0.214982
12.33,0.214531
12.34,0.214081
12.35,0.213632
12.36,0.213184
12.37,0.212737
12.38,0.21229
12.39,0.211845
12.4,0.211401
12.41,0.210957
12.42,0.210515
12.43,0.210073
12.44,0.209632
12.45,0.209193
12.46,0.208754
12.47,0.208316
12.48,0.207879
12.49,0.207443
12.5,0.207008
12.51,0.206573
12.52,0.20614
12.53,0.205708
12.54,0.205276
12.55,0.204845
12.56,0.204416
12.57,0.203987
12.58,0.203559
12.59,0.203132
12.6,0.202706
12.61,0.20228
12.62,0.201856
12.63,0.201433
12.64,0.20101
12.65,0.200588
12.66,0.200168
12.67,0.199748
12.68,0.199329
12.69,0.198911
12.7,0.198493
12.71,0.198077
12.72,0.197661
12.73,0.197247
12.74,0.196833
12.75,0.19642
12.76,0.196008
12.77,0.195597
12.78,0.195186
12.79,0.194777
12.8,0.194368
12.81,0.193961
12.82,0.193554
12.83,0.193148
12.84,0.192743
12.85,0.192338
12.86,0.191935
12.87,0.191532
12.88,0.19113
12.89,0.190729
12.9,0.190329
12.91,0.18993
12.92,0.189532
12.93,0.189134
12.94,0.188737
12.95,0.188341
12.96,0.187946
12.97,0.187552
12.98,0.187158
12.99,0.186766
13,0.186374
13.01,0.185983
13.02,0.185593
13.03,0.185204
13.04,0.184815
13.05,0.184427
13.06,0.18404
13.07,0.183654
13.08,0.183269
13.09,0.182885
13.1,0.182501
13.11,0.182118
13.12,0.181736
13.13,0.181355
13.14,0.180974
13.15,0.180595
13.16,0.180216
13.17,0.179838
13.18,0.179461
13.19,0.179084
13.2,0.178708
13.21,0.178333
13.22,0.177959
13.23,0.177586
13.24,0.177214
13.25,0.176842
13.26,0.176471
13.27,0.176101
13.28,0.175731
13.29,0.175363
13.3,0.174995
13.31,0.174628
13.32,0.174261
13.33,0.173896
13.34,0.173531
13.35,0.173167
13.36,0.172804
13.37,0.172441
13.38,0.172079
13.39,0.171718
13.4,0.171358
13.41,0.170999
13.42,0.17064
13.43,0.170282
13.44,0.169925
13.45,0.169568
13.46,0.169212
13.47,0.168858
13.48,0.168503
13.49,0.16815
13.5,0.167797
13.51,0.167445
13.52,0.167094
13.53,0.166743
13.54,0.166393
13.55,0.166044
13.56,0.165696
13.57,0.165348
13.58,0.165002
13.59,0.164655
13.6,0.16431
13.61,0.163965
13.62,0.163621
13.63,0.163278
13.64,0.162936
13.65,0.162594
13.66,0.162253
13.67,0.161912
13.68,0.161573
13.69,0.161234
13.7,0.160896
13.71,0.160558
13.72,0.160221
13.73,0.159885
13.74,0.15955
13.75,0.159215
13.76,0.158881
13.77,0.158548
13.78,0.158215
13.79,0.157883
13.8,0.157552
13.81,0.157221
13.82,0.156892
13.83,0.156562
13.84,0.156234
13.85,0.155906
13.86,0.155579
13.87,0.155253
13.88,0.154927
13.89,0.154602
13.9,0.154278
13.91,0.153954
13.92,0.153631
13.93,0.153309
13.94,0.152987
13.95,0.152666
13.96,0.152346
13.97,0.152027
13.98,0.151708
13.99,0.151389
14,0.151072
14.01,0.150755
14.02,0.150439
14.03,0.150123
14.04,0.149808
14.05,0.149494
14.06,0.14918
14.07,0.148867
14.08,0.148555
14.09,0.148243
14.1,0.147932
14.11,0.147622
14.12,0.147312
14.13,0.147003
14.14,0.146695
14.15,0.146387
14.16,0.14608
14.17,0.145774
14.18,0.145468
14.19,0.145163
14.2,0.144858
14.21,0.144554
14.22,0.144251
14.23,0.143948
14.24,0.143646
14.25,0.143345
14.26,0.143044
14.27,0.142744
14.28,0.142445
14.29,0.142146
14.3,0.141848
14.31,0.14155
14.32,0.141253
14.33,0.140957
14.34,0.140661
14.35,0.140366
14.36,0.140072
14.37,0.139778
14.38,0.139485
14.39,0.139192
14.4,0.1389
14.41,0.138609
14.42,0.138318
14.43,0.138028
14.44,0.137738
14.45,0.137449
14.46,0.137161
14.47,0.136873
14.48,0.136586
14.49,0.1363
14.5,0.136014
14.51,0.135728
14.52,0.135444
14.53,0.135159
14.54,0.134876
14.55,0.134593
14.56,0.134311
14.57,0.134029
14.58,0.133748
14.59,0.133467
14.6,0.133187
14.61,0.132908
14.62,0.132629
14.63,0.132351
14.64,0.132073
14.65,0.131796
14.66,0.13152
14.67,0.131244
14.68,0.130968
14.69,0.130694
14.7,0.130419
14.71,0.130146
14.72,0.129873
14.73,0.1296
14.74,0.129328
14.75,0.129057
14.76,0.128786
14.77,0.128516
14.78,0.128247
14.79,0.127978
14.8,0.127709
14.81,0.127441
14.82,0.127174
14.83,0.126907
14.84,0.126641
14.85,0.126375
14.86,0.12611
14.87,0.125846
14.88,0.125582
14.89,0.125318
14.9,0.125055
14.91,0.124793
14.92,0.124531
14.93,0.12427
14.94,0.124009
14.95,0.123749
14.96,0.123489
14.97,0.12323
14.98,0.122972
14.99,0.122714
15,0.122456
15.01,0.1222
15.02,0.121943
15.03,0.121687
15.04,0.121432
15.05,0.121177
15.06,0.120923
15.07,0.120669
15.08,0.120416
15.09,0.120164
15.1,0.119912
15.11,0.11966
15.12,0.119409
15.13,0.119159
15.14,0.118909
15.15,0.118659
15.16,0.11841
15.17,0.118162
15.18,0.117914
15.19,0.117667
15.2,0.11742
15.21,0.117173
15.22,0.116928
15.23,0.116682
15.24,0.116438
15.25,0.116193
15.26,0.11595
15.27,0.115706
15.28,0.115464
15.29,0.115221
15.3,0.11498
15.31,0.114738
15.32,0.114498
15.33,0.114258
15.34,0.114018
15.35,0.113779
15.36,0.11354
15.37,0.113302
15.38,0.113064
15.39,0.112827
15.4,0.11259
15.41,0.112354
15.42,0.112118
15.43,0.111883
15.44,0.111648
15.45,0.111414
15.46,0.111181
15.47,0.110947
15.48,0.110715
15.49,0.110482
15.5,0.110251
15.51,0.110019
15.52,0.109788
15.53,0.109558
15.54,0.109328
15.55,0.109099
